Country Name,Country Code,Income Group,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,Low income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.663542,437.2687402,543.3065262,591.1900302,638.8458516,624.3154545,614.2233424,556.0072209,512.0127781,516.6798622,485.6684187
Albania,ALB,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977275,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694
Algeria,DZA,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,2408.822985,1731.62137,1776.028278,1807.297451,1507.886663,1452.278434,1603.940302,1619.797749,1596.003926,1588.348908,1765.027146,1740.606654,1781.828908,2103.381291,2610.185422,3113.094883,3478.710002,3950.512993,4923.631615,3883.2709,4480.786318,5455.679403,5592.220115,5499.587331,5493.056695,4177.889542,3946.452447,4109.698217,4142.018558
American Samoa,ASM,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,8666.655382,8807.462812,8528.248777,8395.31877,8340.52344,8874.877928,9740.824491,11910.01323,10216.81763,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11521.60978
Andorra,AND,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,18878.85231,19534.26363,20549.80558,16515.6584,16235.06804,18458.17399,19016.28819,18355.62786,18895.11066,19262.30899,21854.2468,22970.51221,25067.24006,32272.84589,37966.18725,40064.22493,42674.75897,47804.84993,48719.65877,43504.21565,40850.24814,43334.81141,38686.46126,39540.72481,41303.92937,35770.7767,37475.63506,38964.90448,41791.96984
Angola,AGO,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,947.7042621,865.6927296,656.3620152,441.200842,328.6731487,397.1794793,522.6436984,514.2951541,423.5936878,387.7851241,556.8386317,527.3335285,872.4944418,982.9610078,1255.564513,1902.42215,2599.565948,3121.996085,4080.941034,3122.781599,3587.883645,4615.468219,5100.097027,5254.881126,5408.4117,4166.979833,3506.073128,4095.810057,3289.643995
Antigua and Barbuda,ATG,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,7347.646369,7602.345334,7745.7218,8136.188547,8771.143727,8406.358945,9030.574978,9491.660766,9940.852228,10260.59941,10872.29295,10367.31961,10401.05088,10797.95106,11446.96914,12557.54785,13995.80442,15622.69287,16044.1058,14160.562,13048.96058,12746.63347,13272.73494,12910.59063,13501.58092,14285.32978,15198.74297,15383.5764,16679.59166
Argentina,ARG,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,4333.483372,5735.359981,6823.538837,6969.119729,7483.140334,7408.708664,7721.354105,8213.125127,8289.507568,7774.736203,7708.099115,7208.373114,2593.404563,3349.8063,4277.721573,5109.852245,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939
Armenia,ARM,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,637.8559212,590.5058756,369.7072323,357.2028486,400.5155938,456.3749333,504.0598426,523.2844107,609.1716537,597.4328988,622.7409229,694.4234554,783.241215,930.1254727,1191.921006,1643.756889,2158.148074,3139.28071,4010.861381,2994.340471,3218.378299,3525.807198,3681.844691,3838.17388,3986.231624,3607.289299,3591.828052,3914.527854,4220.540321
Aruba,ABW,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,12306.71768,13495.7943,14045.47457,14938.68157,16239.98785,16439.35636,16583.87586,17927.95944,19077.68743,19355.33354,20617.75047,20670.36701,20436.88713,20833.97636,22568.37499,23300.73836,24046.22638,25834.11178,27083.63486,24631.18205,23513.5277,24985.01392,24712.49326,26441.61994,26893.01151,28396.90842,28452.17061,29350.80502,30253.27936
Australia,AUS,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,18243.47142,18855.762,18604.18827,17667.1871,18079.38018,20358.33336,21904.29412,23509.42347,21345.97099,20558.9604,21697.70848,19527.32358,20117.78889,23492.40517,30513.94174,34080.9999,36117.48798,41001.14298,49654.9106,42783.32257,52087.97229,62574.1457,68027.84171,68156.62792,62511.69059,56707.02208,49881.76371,53934.25018,57180.7794
Austria,AUT,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,21680.98962,22410.91177,24880.16412,24081.52779,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27183.47593,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51486.5755
Azerbaijan,AZE,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,60.45821358,209.4785718,157.0860591,314.5612263,409.1631891,505.5003493,561.9068079,573.9165123,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171
"Bahamas, The",BHS,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,12356.231,11919.83357,11686.73974,11406.85813,11814.43471,12238.60461,12708.64145,22036.10068,23514.17756,26130.01296,27098.15632,27486.23677,28867.0825,28327.81367,28396.01371,30279.39221,30713.79806,31472.28554,30627.32775,28552.51716,28443.88848,28005.9124,29485.86422,28583.0233,30065.1602,31776.05559,31732.91914,32376.50917,33290.02814
Bahrain,BHR,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,8529.052127,9055.644407,9082.827988,9698.15289,10130.3762,10376.9533,10544.79468,10672.23776,10076.26988,10401.56215,13636.41675,12868.17692,13049.90973,14222.0368,15846.50595,17959.39683,19307.50894,20976.44229,23066.45098,19355.92101,20722.07049,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,24085.95599
Bangladesh,BGD,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,306.2687008,293.1604211,293.6449876,300.5557477,299.5330371,329.4240761,394.7174919,401.4986674,407.4291762,409.5431838,418.0689421,415.0344043,413.0802826,446.3106757,475.2919302,499.4619402,509.6401899,558.0518407,634.9870697,702.2644196,781.1535777,861.7621622,883.1171296,981.8608514,1118.873808,1248.45331,1401.564635,1563.767819,1698.132081
